Trade_Number,Entry_Date,Exit_Date,Direction,Entry_Price,Exit_Price,Entry_Z_Score,Exit_Z_Score,Duration_Days,Spread_PnL,Spread_PnL_Pct,Portfolio_PnL,Portfolio_PnL_Pct,MAE,MFE,Win
1,2019-01-29,2019-01-30,Short,0.42657445727523857,0.4171616148542947,1.6392422681376975,-0.13768467551843427,1,0.009412842420943868,2.2066118260030794,4450.381682265899,0.890699826331612,0.0,0.009412842420943868,True
2,2019-07-22,2019-07-31,Long,0.379527096501203,0.38540366490433087,-1.7018895744629015,-0.02799033424534762,9,0.005876568403127891,1.5483923169921188,2540.503536594624,0.5043208113243159,-0.0017030462512730438,0.005876568403127891,True
3,2019-10-14,2019-10-22,Long,0.3830600586016608,0.3893773865915122,-1.5970335188975409,-0.06295478698296725,8,0.006317327989851407,1.649174286902283,2778.6541669736616,0.5492131959019797,-0.0027846812353748973,0.006317327989851407,True
4,2019-10-28,2019-11-21,Long,0.37424351679534773,0.37627581536280186,-2.238747353574521,-0.45574208804064675,24,0.002032298567454127,0.5430417565698205,620.1809120276594,0.12199732194537741,-0.0012757284954947323,0.0074774996886626255,True
5,2019-12-13,2020-02-24,Long,0.3718886678067719,0.32428202477390045,-1.835773845959404,-0.3254317137227071,73,-0.04760664303287143,-12.801315865211352,-47249.376787639805,-9.28971936226919,-0.06746011829396181,0.0,False
6,2021-01-26,2021-02-17,Long,0.11646316565898651,0.12250297439678715,-2.358789809702516,-0.437915053787978,22,0.006039808737800634,5.186024872006037,2274.706121701689,0.4933775774410363,-0.003080512238461175,0.0072325603167371355,True
7,2023-10-12,2023-10-20,Long,0.1439854122152493,0.15713205010588194,-2.057266636983134,-0.162048486226436,8,0.01314663789063264,9.130534606505297,5725.657138819748,1.2366480572059766,0.0,0.01314663789063264,True
8,2025-07-15,2025-07-23,Long,0.10782979801304915,0.11438984655955942,-2.4466478582637565,0.21707513828670946,8,0.0065600485465102665,6.083706607441103,2735.0179342787596,0.5839118851426466,-0.002692813422360274,0.0065600485465102665,True
9,2025-08-07,2025-08-19,Long,0.10170991058209378,0.11352581750737212,-2.6330627555582278,1.0790822109697535,12,0.011815906925278341,11.61726213075499,5188.785101004178,1.1021188019881918,-0.002434682769404617,0.011815906925278341,True
10,2025-10-24,2025-11-06,Long,0.0913465081073781,0.08988441599339758,-1.6543411319151755,-0.318990447324543,13,-0.0014620921139805176,-1.6005998962344832,-177.9657745321747,-0.03741476928849301,-0.015032837060975801,0.0,False
